ID,Word,POS,Oxford 5000 Meanings,Oxford Score,Oxford Status,CLD Meanings,CLD Score,CLD Status,Sam Meanings,Sam Score,Sam Status,Muller AST Meanings,Muller AST Score,Muller AST Status,Muller A4 Meanings,Muller A4 Score,Muller A4 Status,Muller 300k Meanings,Muller 300k Score,Muller 300k Status,Shkolnik Meanings,Shkolnik Score,Shkolnik Status
11,properly,adverb,должным образом; как следует; правильно | собственно; в узком смысле сло-ва; строго говоря | пристойно; при-лично | здорово; хорошенько,10.0,Сбалансирован (идеальный порядок),"должным образом, как следует",5.0,Недостаточен (только 1 значение),"должным образом, правильно | как следует | справедливо | делать что-л как следует | прилично, пристои | но",9.0,Сбалансирован (идеальный порядок),как сле дует,5.0,Недостаточен (только 1 значение),должным образом | как следует | правильно | собственно | в узком смысле сло ва | собственно говоря,10.0,Сбалансирован (идеальный порядок),"долж ным об ра зом | пра виль но, при стои | но | хо ро шень ко | соб ст вен но | в уз ком смыс ле сло ва",7.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре
12,arena,noun,арена | место дей-ствия; поле сражения,7.5,Сбалансирован (хороший),арена,5.0,Недостаточен (только 1 значение),арена | сокр,6.5,Сбалансирован (хороший),аре на,3.5,Недостаточен (только 1 значение),арена | место деи | ствия | поле сражения,10.0,Сбалансирован (идеальный порядок),аре на | ме с то деи | ст вия | по ле сра же ния | по - при ще,6.5,Сбалансирован (хороший),арена,5.0,Недостаточен (только 1 значение)
13,appointment,noun,"свида-ние, условленная встреча | назначе-ние, определение ( на  должность ) | место, должность | pl оборудова-ние; обстановка, мебель | рас-пределение наследственного иму-щества по доверенности",10.0,Сбалансирован (идеальный порядок),"прием, встреча | назначение",7.5,Сбалансирован (хороший),"условленная встреча | я записан на прие | м к зубному врачу в четыре часа | назначение (на должность | должность, пост | занимать должность",8.0,Сбалансирован (хороший),назначе ние | до лжность | свида ние,9.0,Сбалансирован (хороший),"свида ние, условленная встреча | мы условились встретиться завтра | прии | ти (не прии | ти) в на значенное время или место | по (предварительнои",8.0,Сбалансирован (хороший),"на - зна че ние, оп ре де ле ние (на долж - ность | ме с то, долж ность",6.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре
14,coach,"noun, verb","бус (меж-дугородного сообщения) | ж. Чд. пассажирский вагон | карета, эки-паж | подготавливать или  натаски-вать к экзамену | заниматься с ре-петитором | тренировать, подго-тавливать к состязаниям",10.0,Сбалансирован (идеальный порядок),"туристский автобус | тренер | карета | тренировать, обучать",6.3,Недостаточен (пропущена часть речи),"междугородныи | автобус | тренер, инструктор | тренировать(ся | заниматься с репетитором | репетитор",7.0,Сбалансирован (хороший),"экипа ж | ж-д ваго н | тре нер | тренирова ть, подготовля ть | инстру ктор | репети тор",5.0,Удовлетворительный,автобус (меж дугородного сообщения | пассажирскии | вагон | ехать в карете | перевозить в карете | подготавливать или натаски вать к экзамену,8.3,Избыточен (сильно перегружен),"то бус меж ду го - род но го со об ще ния | ре пе ти тор | тре нер | под - го тав ли вать или на та с ки вать к эк за ме ну | за ни мать ся с ре пе ти - то ром | тре ни ро вать, под го тав - ли вать к со стя за ни ям",8.5,Сбалансирован (идеальный порядок),"тренер | инструктор | репетитор | тренировать, подготовлять | экипаж | вагон",5.7,Удовлетворительный
15,fishing,noun,рыбная ловля | право рыб-ной ловли | = fishery | fishingпline [/G02f/G03/G07/G03/G16la/G03n] n лесаfishingпrod [/G02f/G03/G07/G03/G16r/G08d] n удилище fishingпtackle [ /G02f/G03/G07/G03/G16/G06tækl] n рыболов-ные снасти,9.0,Сбалансирован (идеальный порядок),рыбная ловля,5.0,Недостаточен (только 1 значение),,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,от | рыбная ловля | право рыб нои | ловли | леса | удилище,7.0,Сбалансирован (хороший),от | рыб ная лов ля | пра во рыб нои | лов ли | ле са | уди ли ще,7.0,Сбалансирован (хороший),,0.0,Отсутствует в словаре
16,full-time,"adjective, adverb","полный рабочий день, постоянный | на полную ставку",7.5,Сбалансирован (хороший),занимающий полный рабочий день,5.0,Недостаточен (только 1 значение),занимающии | полныи | рабочии | день,6.5,Сбалансирован (хороший),занима ющии | по лныи | рабо чии | день,6.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
17,speculation,noun,"раз-мышление | теория, предположе-ние | спекуляция; играна бирже; on ~ = on spec [ см.  spec I]",10.0,Сбалансирован (хороший),"предположение, домысел",5.0,Недостаточен (только 1 значение),"размышление, обдумывание | гипотеза, предположение | игра на бирже, спекуляция",8.5,Сбалансирован (хороший),размышле ние | предположе ние | спекуля ция,9.0,Сбалансирован (хороший),"раз мышление | теория, предположе ние | спекуляция | игра на бирже",10.0,Сбалансирован (идеальный порядок),"раз мы ш ле ние | те о рия, пред по - ло же ние | спе ку ля ция | иг ра на бир же",9.0,Сбалансирован (идеальный порядок),размышление | предположе ние | спекуляция,8.5,Сбалансирован (хороший)
18,yard,"noun, verb","ярд (= 3 футам  или 914,4 мм ) | рей | двор | загонять (скотину  на  двор ) | лесной склад | сад",10.0,Сбалансирован (идеальный порядок),ярд | двор,3.8,Недостаточен (пропущена часть речи),"ярд | фута или | мм | загонять скотину | большая длина, большое количество | реи",9.5,Сбалансирован (идеальный порядок),ярд | двор,3.8,Недостаточен (пропущена часть речи),ярд | футам или | мм | загонять (скотину на двор | в ярдах | в Англии еще,9.5,Избыточен (сильно перегружен),ярд | фу там | реи | за го нять (ско ти ну на двор | двор | сад,9.0,Сбалансирован (идеальный порядок),ярд | двор,3.8,Недостаточен (пропущена часть речи)
19,any,"pronoun, adverb","какой-ни-будь, сколько-нибудь (в вопр. предл.); никакой (в отриц.  предл.) | всякий, любой (в утв.  предл.) | нисколько ( при  отрицаЗ нии ); сколько-нибудь ( при  сравн. ст. ) | вообще; вовсе; совсем",10.0,Сбалансирован (идеальный порядок),"сколько-нибудь, нисколько, никто, ничто | любой | сколько-нибудь, нисколько, ничуть",5.0,Недостаточен (пропущена часть речи),какои | нибудь | некоторыи | в вопр и усл предложениях | есть какие-нибудь новости | никакои,7.6,Избыточен (сильно перегружен),како и | нибудь | любо и,3.8,Недостаточен (пропущена часть речи),"какои | ни будь, скольконибудь (в вопр | предл | никакои | в отриц | можете ли вы наи",7.4,Избыточен (сильно перегружен),"ка кои | ни будь сколь кони будь (в во прос | и от - риц | на зна чать це ну, оце ни вать | во вся ком слу чае | по мень - шеи",7.0,Избыточен (сильно перегружен),какои | нибудь | лю бои | ктонибудь | во вся ком случае | всякии,7.0,Сбалансирован (хороший)
20,trend,"noun, verb","направление | общее направление, тенденция | отклоняться, склоняться (в каком-л. направлении ) | иметь тенденцию",10.0,Сбалансирован (идеальный порядок),тенденция,3.8,Недостаточен (пропущена часть речи),"курс, направление | общее направление, тенденция | современные тенденции | отклоняться, склоняться | клониться | иметь тенденцию",9.0,Сбалансирован (идеальный порядок),,0.0,Отсутствует в словаре,"направление | общее направление, тенденция | отклоняться, склоняться (в какомл | направлении | дорога иде | т на север",9.5,Сбалансирован (идеальный порядок),"об щее на прав ле ние | тен ден ция | от кло нять ся, скло нять ся в ка ком-ли бо на прав - ле нии | пе рен | кло нить ся",7.0,Сбалансирован (хороший),,0.0,Отсутствует в словаре
21,excited,adjective,"возбужденный, взволнованный",7.5,Удовлетворительный,возбужденный,7.5,Удовлетворительный,возбужде | нныи | взволнованныи | оживле | деятельныи | физ возбужде,6.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,воз буж ден - ныи | взвол но ван ныи,7.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре
22,there,adverb,"там | туда | здесь, тут, на этом месте | в этом отношении",10.0,Сбалансирован (идеальный порядок),"там, туда | вон там, вон туда | указывает на наличие чего-либо | здесь, на этом, там, туда",10.0,Сбалансирован (идеальный порядок),"то место | оттуда | в  местах, недалеко от того места | там | быть там | быть на месте",6.5,Избыточен (сильно перегружен),"там | туда | здесь, тут | есть, име ется, име ются | тем са мым",10.0,Сбалансирован (идеальный порядок),"там | я буду ждать вас там | вы слушаете (по телефону | туда | туда и обратно | здесь, тут, на этом месте",9.0,Избыточен (сильно перегружен),"ам | до стичь сво еи | це ли | уби рать ся, ухо дить | с пред - лог | и на реч",5.0,Удовлетворительный,"там | туда | здесь, тут | есть, имеется, имеются | у  тем самым | поэтому",10.0,Сбалансирован (идеальный порядок)
23,profound,"adjective, noun","глубокий, основательный; мудрый | полный, абсолютный | проникновенный | глу-бокий, низкий (поклон  и т. п. ) | глубина , бездна",10.0,Сбалансирован (идеальный порядок),"глубокий, серьезный | глубокий, прочувствованный | серьезный, основательный",10.0,Сбалансирован (хороший),глубокии | основательныи | серье | зныи | глубокое знание | проникновенныи,6.5,Сбалансирован (хороший),глубо кии | програ мма,5.0,Удовлетворительный,глубокии | основательныи | мудрыи | полныи | абсолютныи | полное не вежество,6.5,Сбалансирован (хороший),глу бо - кии | пол ныи,6.5,Сбалансирован (хороший),глубо кии | программа,5.0,Удовлетворительный
24,flee,verb,"бежать, спасаться бегством (from; out of; away) | из-бегать | (тк.  past и p. p.) исчезнуть, пролететь",10.0,Сбалансирован (хороший),спасаться бегством,5.0,Недостаточен (только 1 значение),,0.0,Отсутствует в словаре,"бежа ть, спаса ться бе гством",3.5,Недостаточен (только 1 значение),"бежать, спасаться бегством | из бегать | тк | исчезнуть, пролететь | ветер рассеял облака",9.0,Сбалансирован (идеальный порядок),"бе жать, спа сать ся бег - ст вом | из бе - гать | ис че зать | жизнь про ле те ла",6.5,Сбалансирован (хороший),"бежать, спасаться бегством",5.0,Недостаточен (только 1 значение)
25,remove,"noun, verb","удаление, рас-стояние, степень отдаления | ступень, шаг, стадия | продвижение, пере-вод (на работе,  в школе  и т.  п.) | передвигать; перемещать; уби-рать, уносить | снимать | отодви-гать, убирать",10.0,Сбалансирован (идеальный порядок),"извлекать, удалять | снимать | смещать (с должности)",3.2,Недостаточен (пропущена часть речи),"ступень, шаг | удаление, расстояние | продвижение, перевод (на работе и т п | убирать | уносить | снимать",10.0,Сбалансирован (идеальный порядок),удаля ть | устраня ть | снима ть | удаля ть | устраня ть | снима ть,6.4,Недостаточен (пропущена часть речи),"удаление, рас стояние, степень отдаления | на дале | ком расстоянии | передвигать | перемещать | уби рать, уносить",9.0,Избыточен (сильно перегружен),"пе ре дви гать, уби рать, уно сить | уда лить ся | от ве с - ти гла за | пе ре дви гать, уби рать, уно сить | уда лить ся | от ве с - ти гла за",7.2,Сбалансирован (хороший),удалять | устранять | снимать | пере езжать,5.0,Недостаточен (пропущена часть речи)
26,wednesday,noun,среда  (день недели ),7.5,Удовлетворительный,среда,7.5,Удовлетворительный,среда | в среду,9.0,Сбалансирован (хороший),среда,7.5,Удовлетворительный,среда (день недели,7.5,Удовлетворительный,сре да (день не де ли,7.5,Удовлетворительный,среда,7.5,Удовлетворительный
27,indulge,verb,"доставлять удо-вольствие | позволять себеудовольствие; давать себеволю ( в чём-л.) | быть снис-ходительным; потворствовать, бало-вать, потакать | сильно пить | дать отсроч-ку платежапо векселю",10.0,Сбалансирован (идеальный порядок),"позволять себе, предаваться удовольствиям | потворствовать, баловать",7.5,Сбалансирован (хороший),обыкн | доставить себе удовольствие | он себе во все | м отказывал | быть снисходительным | потворствовать,8.5,Сбалансирован (идеальный порядок),"потво рствовать, балова ть | предава ться (удово льствиям",5.0,Удовлетворительный,доставлять удо вольствие | он доставил всем удовольствие своим пением | позволять себе удовольствие | давать себе волю (в че | мл | увлекаться ездои,9.0,Сбалансирован (идеальный порядок),"по твор ст во вать, по та кать | ба ло вать",7.5,Сбалансирован (хороший),"потворство вать, баловать | преда ваться (удовольствиям",7.5,Сбалансирован (хороший)
28,acquire,verb,приобретать | достигать; овладевать (каким-л. навыком  и т. п. ),7.5,Сбалансирован (хороший),приобретать | усваивать,7.5,Сбалансирован (хороший),получать | овладевать | приобрести знания | овладеть языком | приобрести,7.5,Сбалансирован (хороший),приобрета ть,3.5,Недостаточен (только 1 значение),приобретать | достигать | овладевать (какимл | навыком и т | приобрести знания,10.0,Сбалансирован (идеальный порядок),при об ре - тать | до сти гать | ов ла де вать (ка кимли бо на вы ком и т,6.5,Сбалансирован (хороший),приобретать,5.0,Недостаточен (только 1 значение)
29,discourse,noun,беседа,10.0,Удовлетворительный,,0.0,Отсутствует в словаре,"разговор, беседа | дискуссия | бесконечныи | разговор | лекция, проповедь | прямая речь",8.0,Сбалансирован (хороший),,0.0,Отсутствует в словаре,книжн | рассу ждение | лекция | речь | трактат | про поведь,6.5,Сбалансирован (хороший),бе се да,8.5,Удовлетворительный,,0.0,Отсутствует в словаре
30,prosecute,verb,"преслец довать в судебном порядке | вести , проводить; выпол-нять; продолжать (занятие  и т. п. ) | выступаТaccentть в каТaccentчестве обви-ниТaccentтеля",10.0,Сбалансирован (хороший),возбуждать уголовное дело,5.0,Недостаточен (только 1 значение),преследовать в судебном порядке | продолжать вести | проводить | выступать в качестве обвинителя,10.0,Сбалансирован (идеальный порядок),пресле довать по суду,5.0,Недостаточен (только 1 значение),"пресле довать в судебном порядке | возбудить иск об убытках | вести, проводить | выпол нять | продолжать (занятие и т | проводить расследо вание",9.0,Сбалансирован (идеальный порядок),"ве с ти, вы пол нять | про дол жать (за ня тие и т | про во дить рас сле до ва ние | пре сле до вать су - деб ным по ряд ком",8.0,Сбалансирован (хороший),пресле довать по суду,5.0,Недостаточен (только 1 значение)
31,million,"numeral, noun",милли-он | числомиллион | б) основная масса населения,10.0,Сбалансирован (хороший),миллион,5.0,Недостаточен (только 1 значение),"миллион (количество | обыкн | миллионы, огромное количество | число) миллион",8.0,Сбалансирован (хороший),миллио н,3.5,Недостаточен (только 1 значение),"милли он | десять миллионов книг | итого четыре миллиона | число миллион | а) множество, масса | б) основная масса населения",8.0,Сбалансирован (хороший),мил ли он,3.5,Недостаточен (только 1 значение),миллион,5.0,Недостаточен (только 1 значение)
32,indoors,adverb,внутридома; в помещении,7.5,Удовлетворительный,"в помещение, в помещении",7.5,Удовлетворительный,"в помещении | в доме, в комнате | сидеть дома",8.0,Сбалансирован (хороший),"до ма, в помеще нии",6.0,Удовлетворительный,"внутри дома | в помещении | или | оставаться дома, не выходить",7.5,Сбалансирован (хороший),"вну т ри до ма | в по ме ще нии | ос та вать ся до ма, не вы хо дить",6.5,Сбалансирован (хороший),"дома, в по мещении",6.0,Удовлетворительный
33,dilemma,noun,дилемма; затруд-нительное положение,7.5,Удовлетворительный,дилемма,7.5,Удовлетворительный,дилемма | выбирать из двух зол | затруднительное положение,9.0,Сбалансирован (хороший),"диле мма, необходи мость вы бора | затрудни тельное положе ние",7.5,Сбалансирован (хороший),дилемма | затруд нительное положение | стоять перед ди леммои | быть вынужденным выбирать из двух зол,9.0,Сбалансирован (идеальный порядок),ди лем ма | за - труд ни тель ное по ло же ние,7.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре
34,fifth,numeral,пятый,5.0,Недостаточен (только 1 значение),пятый | одна пятая,7.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре,пя тыи,3.5,Недостаточен (только 1 значение),"пятыи | пятая часть | пятая ко лонна, предатели внутри страны или организации | пятая спица в колеснице | пя тое число | галлона (едини ца измерения спиртных напитков",8.5,Сбалансирован (идеальный порядок),пит) пя тыи | пя тая часть | муз | квин та,6.5,Сбалансирован (хороший),пятыи,3.5,Недостаточен (только 1 значение)
35,mental,"adjective, noun","умственный | психический | производимый в уме , мыслен-ный | ненормальный, чокнутый; помешанный | ненормальный, псих | подбородочный",10.0,Сбалансирован (идеальный порядок),"умственный, психический",5.0,Недостаточен (только 1 значение),умственныи | умственные способности | производимыи | в уме | устныи | сче,6.5,Сбалансирован (хороший),у мственныи | мы сленныи,5.0,Удовлетворительный,умственныи | умственно отсталыи | ре бе | нок | умственное напря жение | ваши несчастья,6.5,Избыточен (сильно перегружен),ум ст вен - ныи | пси - хи че с кии | ду шев ная бо лезнь | ду шев но боль - нои | пси хи атр | про из во ди мыи,6.5,Сбалансирован (хороший),умственныи | мысленныи,5.0,Удовлетворительный
36,compete,verb,"состязаться, соревноваться | конкурировать (with — с кем-л.; for — из-за чего-л., ради чегоЗл.) | принимать участие в спортивном соревновании",10.0,Сбалансирован (хороший),"состязаться, соревноваться | конкурировать",7.5,Сбалансирован (хороший),"состязаться, соревноваться, участвовать в соревновании | участвовать в соревнованиях по ле | гкои | атлетике | конкурировать",8.0,Сбалансирован (хороший),состяза ться | конкури ровать,5.0,Удовлетворительный,"состязаться, соревноваться | конкурировать | с кемл | изза чегол | ради чегол | принимать участие в спортивном соревновании",9.0,Сбалансирован (идеальный порядок),"со стя зать ся, со рев но вать ся | кон ку ри ро вать (с кемли бо | ра ди че голи бо | спо соб ность, да ро - ва ние, до ста точ ные для ка кои | ли бо це ли | до ста ток, хо ро шее ма те ри аль ное по ло же ние",6.5,Сбалансирован (хороший),состязать ся | конкурировать,6.0,Удовлетворительный
37,closure,"noun, verb",закрытие; фон.  смыкание | прекра-щение прений | закрывать прения,10.0,Сбалансирован (хороший),"закрытие | чувство, что грустный или неприятный эпизод в жизни завершился, и появилась способность думать о чем-то другом",4.5,Недостаточен (пропущена часть речи),завершение | прекращение прении | засте | жка | молния | крышка на бутылку,6.4,Недостаточен (пропущена часть речи),,0.0,Отсутствует в словаре,закрытие | фон | смыкание | закрывать прения | парл | прекра щение прении,10.0,Сбалансирован (идеальный порядок),за кры тие | смы ка ние | парл | за крыть пре ния | пре кра ще ние пре нии,7.4,Сбалансирован (хороший),,0.0,Отсутствует в словаре
38,owner,noun,"владелец; собст-венник, хозяин | капита /G01/G12 корабля",7.5,Сбалансирован (хороший),владелец,5.0,Недостаточен (только 1 значение),собственник | владелец недвижимости | владелец авторского права,8.5,Сбалансирован (хороший),"облада тель | владе лец, со бственник",5.0,Удовлетворительный,"владелец | собст венник, хозяин | жарг | капита корабля",9.0,Сбалансирован (идеальный порядок),вла де лец | соб ст - вен ник | хо зя ин | ка пи тан,6.5,Сбалансирован (хороший),"обладатель | вла делец, собственник | владение | право соб ственности",6.5,Сбалансирован (хороший)
39,colony,noun,"колония | посе-ление | биол.  семья  (пчёл, муравьёв и т.  п.)",10.0,Сбалансирован (хороший),колония,5.0,Недостаточен (только 1 значение),"колония | поселение | учреждение специального назначения | исправительная колония | семья (пчелиная, муравьиная и т п",8.0,Сбалансирован (хороший),коло ния,3.5,Недостаточен (только 1 значение),колония | посе ление | дачныи | посе | лок | семья (пче,9.0,Сбалансирован (идеальный порядок),ко ло ния,3.5,Недостаточен (только 1 значение),колония,5.0,Недостаточен (только 1 значение)
40,no one,pronoun,никто,7.5,Удовлетворительный,никто,7.5,Удовлетворительный,"никто | почти никто, едва ли кто-нибудь",10.0,Сбалансирован (хороший),,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,ни кто,6.0,Удовлетворительный,,0.0,Отсутствует в словаре
41,mobilize,verb,"мобилизо-вать(ся) | (с)делать подвижным | пускать (деньги) в обращение mob law, mob rule  [ /G03m/G07bl/G08:, /G03m/G07bru:l] n самосуд",10.0,Сбалансирован (хороший),"мобилизовать, заручиться поддержкой | мобилизоваться",7.5,Сбалансирован (хороший),"мобилизовать(ся | делать подвижным, придать подвижность",7.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре,мобилизо вать(ся | с)делать подвижным | пускать (деньги) в обращение | самосуд,10.0,Сбалансирован (идеальный порядок),мо би ли зо - вать(ся | сде лать по движ ным | пу с - кать (день ги) в об ра ще ние,8.0,Сбалансирован (хороший),,0.0,Отсутствует в словаре
42,yourself,pronoun,"refl. себя , Чся, Чсь; себе | сам, сами",7.5,Сбалансирован (хороший),"себя, себе, собой | сам, сама, сами",7.5,Сбалансирован (хороший),"себя, себе, собои | сь, -ся | вы можете пораниться | сам, один | как ты поживаешь, а сам-то ты как | вы это сделали сами/без постороннеи",8.0,Сбалансирован (хороший),,0.0,Отсутствует в словаре,"себя, ся, сь | себе | вы ушиблись | как вы поживаете | сам, сами | вы сами мне это сказали",9.0,Сбалансирован (идеальный порядок),,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
43,house,verb,"предоставлять жилище | поселить, приютить | жить в доме | помещать, убирать, хранить (вещи, оборудование) | находить убежище, помещаться | расквартировывать (войска)",10.0,Сбалансирован (идеальный порядок),"дом | домочадцы | здание, помещение, заведение, фирма | зрители, аудитория | обеспечивать жильем | содержать, вмещать",10.0,Сбалансирован (идеальный порядок),дом | жилище | здание | строить дом | многоквартирныи | религиозное братство,10.0,Избыточен (сильно перегружен),дом | маля р | пала та | пала та о бщин | пала та ло рдов | посели ть,8.0,Сбалансирован (хороший),книжн | жилои | дом | жилище | здание | религиозное братство,7.5,Избыточен (сильно перегружен),"за до мом, по за ди до ма | я на хо жу, что дом этот хо - рош | с пред лог | и на реч | за хо - дить | ос та нав ли вать ся",7.5,Избыточен (сильно перегружен),дом | маляр | палата | палата общин | палата лордов | поселить,8.0,Сбалансирован (хороший)
