ID,Word,POS,Ideal Meanings,Oxford Data,Oxford Coincidence (%),Oxford Status,CLD Data,CLD Coincidence (%),CLD Status,Sam Data,Sam Coincidence (%),Sam Status,Muller A4 Data,Muller A4 Coincidence (%),Muller A4 Status,Muller 300k Data,Muller 300k Coincidence (%),Muller 300k Status,Shkolnik Data,Shkolnik Coincidence (%),Shkolnik Status,Muller AST Data,Muller AST Coincidence (%),Muller AST Status
11,properly,adverb,"должным образом, как следует | собственно; в узком смысле сло-ва; строго говоря | пристойно; при-лично",должным образом; как следует; правильно | собственно; в узком смысле сло-ва; строго говоря | пристойно; при-лично | здорово; хорошенько,100.0,Идеальное совпадение,"должным образом, как следует",64.3,Хорошее совпадение,"должным образом, правильно | как следует | справедливо | делать что-л как следует | прилично, пристои | но",77.7,Высокое совпадение,должным образом | как следует | правильно | собственно | в узком смысле сло ва | собственно говоря,77.7,Высокое совпадение,"должнымобразом | правильно, пристои | но | хоро шенько | собст венно | вуз комсмыс леслова",19.3,Низкое совпадение,,0.0,Отсутствует в словаре,как сле дует,6.0,Низкое совпадение
12,arena,noun,арена | место дей-ствия; поле сражения | сокр,арена | место дей-ствия; поле сражения,77.7,Высокое совпадение,арена,64.3,Хорошее совпадение,арена | сокр,77.7,Высокое совпадение,арена | место деи | ствия | поле сражения,77.7,Высокое совпадение,арена | мес тодеи | ствия | поле сражения | по - прище,77.7,Высокое совпадение,арена,64.3,Хорошее совпадение,аре на,64.3,Хорошее совпадение
13,appointment,noun,"прием, встреча | назначение | назначе-ние, определение ( на должность ) | я записан на прие","свида-ние, условленная встреча | назначе-ние, определение ( на должность ) | место, должность | pl оборудова-ние; обстановка, мебель | рас-пределение наследственного иму-щества по доверенности",71.0,Хорошее совпадение,"прием, встреча | назначение",71.0,Хорошее совпадение,"условленная встреча | я записан на прие | м к зубному врачу в четыре часа | назначение (на должность | должность, пост | занимать должность",96.0,Идеальное совпадение,"свида ние, условленная встреча | мы условились встретиться завтра | прии | ти (не прии | ти) в на значенное время или место | по (предварительнои",61.0,Хорошее совпадение,"на - значение, определение (надолж - ность | место, долж ность",41.0,Частичное совпадение,,0.0,Отсутствует в словаре,назначе ние | до лжность | свида ние,41.0,Частичное совпадение
14,coach,"noun, verb",туристский автобус | тренер | карета | ж. Чд. пассажирский вагон,"бус (меж-дугородного сообщения) | ж. Чд. пассажирский вагон | карета, эки-паж | почтовая карета | ехать в карете | перевозить в карете",26.0,Низкое совпадение,"туристский автобус | тренер | карета | тренировать, обучать",81.0,Высокое совпадение,"междугородныи | автобус | тренер, инструктор | репетитор | тренировать(ся | заниматься с репетитором",48.0,Частичное совпадение,"автобус (меж дугородного сообщения | пассажирскии | вагон | карета, эки паж | карета, запря же | нная четве",81.0,Высокое совпадение,тобус междуго - родногосо общения | репе титор | тренер | инст руктор | под - готав ливать илинатас киватькэк замену | зани матьсясрепети - тором,16.0,Низкое совпадение,"экипаж | вагон | тренер | инструктор | репетитор | тренировать, подготовлять",26.0,Низкое совпадение,"экипа ж | ж-д ваго н | тре нер | инстру ктор | репети тор | тренирова ть, подготовля ть",16.0,Низкое совпадение
15,fishing,noun,рыбная ловля | право рыб-ной ловли | = fishery,рыбная ловля | право рыб-ной ловли | = fishery | fishingпline [/G02f/G03/G07/G03/G16la/G03n] n лесаfishingпrod [/G02f/G03/G07/G03/G16r/G08d] n удилище fishingпtackle [ /G02f/G03/G07/G03/G16/G06tækl] n рыболов-ные снасти,77.7,Высокое совпадение,рыбная ловля,64.3,Хорошее совпадение,,0.0,Отсутствует в словаре,от | рыбная ловля | право рыб нои | ловли | леса | удилище,54.7,Частичное совпадение,от | рыбная ловля | право рыбнои | ловли | леса | удилище,54.7,Частичное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
16,full-time,"adjective, adverb",занимающий полный рабочий день | на полную ставку,"полный рабочий день, постоянный | на полную ставку",100.0,Идеальное совпадение,занимающий полный рабочий день,71.0,Хорошее совпадение,занимающии | полныи | рабочии | день,71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,занима ющии | по лныи | рабо чии | день,71.0,Хорошее совпадение
17,speculation,noun,"предположение, домысел | теория, предположе-ние | спекуляция; играна бирже; on ~ = on spec [ см. spec I] | размышление, обдумывание","раз-мышление | теория, предположе-ние | спекуляция; играна бирже; on ~ = on spec [ см. spec I]",26.0,Низкое совпадение,"предположение, домысел",61.0,Хорошее совпадение,"размышление, обдумывание | гипотеза, предположение | игра на бирже, спекуляция",76.0,Высокое совпадение,"раз мышление | теория, предположе ние | спекуляция | игра на бирже",58.0,Хорошее совпадение,"размышление | теория, предпо - ложение | спеку ляция | игра набирже",51.0,Частичное совпадение,размышление | предположе ние | спекуляция,76.0,Высокое совпадение,размышле ние | предположе ние | спекуля ция,76.0,Высокое совпадение
18,yard,"noun, verb",ярд | двор | рей | фута или,"ярд (= 3 футам или 914,4 мм ) | рей | двор | лесной склад | сад | (the Y.) = Scotland Yard",81.0,Высокое совпадение,ярд | двор,71.0,Хорошее совпадение,"ярд | фута или | мм | большая длина, большое количество | реи | рея",81.0,Высокое совпадение,ярд | футам или | мм | в ярдах | в Англии еще | мерят ткани на ярды,61.0,Хорошее совпадение,ярд | футам | реи | двор | сад | леснои,81.0,Высокое совпадение,ярд | двор,71.0,Хорошее совпадение,ярд | двор,71.0,Хорошее совпадение
19,any,"adverb, pronoun","сколько-нибудь, нисколько, никто, ничто | любой | какои","какой-ни-будь, сколько-нибудь (в вопр. предл.); никакой (в отриц. предл.) | всякий, любой (в утв. предл.) | нисколько ( при отрицаЗ нии ); сколько-нибудь ( при сравн. ст. ) | вообще; вовсе; совсем",100.0,Идеальное совпадение,"сколько-нибудь, нисколько, никто, ничто | любой | сколько-нибудь, нисколько, ничуть",77.7,Высокое совпадение,какои | нибудь | некоторыи | в вопр и усл предложениях | есть какие-нибудь новости | никакои,72.7,Хорошее совпадение,"какои | ни будь, скольконибудь (в вопр | предл | никакои | в отриц | можете ли вы наи",72.7,Хорошее совпадение,"какои | нибудь скольконибудь (ввопрос | иот - риц | предл | можетели вынаи | тика коелибоиз винение, оправ дание",72.7,Хорошее совпадение,какои | нибудь | лю бои | ктонибудь | во вся ком случае | всякии,89.0,Высокое совпадение,како и | нибудь | любо и,93.0,Идеальное совпадение
20,trend,"noun, verb","тенденция | отклоняться, склоняться (в каком-л. направлении ) | курс, направление","направление | общее направление, тенденция | отклоняться, склоняться (в каком-л. направлении ) | иметь тенденцию",93.0,Идеальное совпадение,тенденция,64.3,Хорошее совпадение,"курс, направление | общее направление, тенденция | современные тенденции | тренд (в статистике | мода, стиль | ввести моду",72.7,Хорошее совпадение,"направление | общее направление, тенденция | отклоняться, склоняться (в какомл | направлении | дорога иде | т на север",89.0,Высокое совпадение,"откло няться, склонятьсяв каком-либо направ - лении | перен | клониться | общее направ ление | тенденция",67.7,Хорошее совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
21,excited,adjective,возбужденный | возбужде | нныи,"возбужденный, взволнованный",64.3,Хорошее совпадение,возбужденный,64.3,Хорошее совпадение,возбужде | нныи | взволнованныи | оживле | деятельныи | физ возбужде,57.7,Хорошее совпадение,,0.0,Отсутствует в словаре,возбужден - ныи | взволно ванныи,6.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
22,there,"adverb, interjection, noun","там, туда | вон там, вон туда | указывает на наличие чего-либо | здесь, тут, на этом месте","там | туда | здесь, тут, на этом месте | в этом отношении | (he lives) near ~ (он живёт) в тех местах, поблизо-сти | ну, вот; надо же!; /G1E/G04 (реЗ дуцированная форма )] лишённое лексического знач. слово, употр. в основном с гл.",71.0,Хорошее совпадение,"там, туда | вон там, вон туда | указывает на наличие чего-либо | здесь, на этом, там, туда",100.0,Идеальное совпадение,"то место | оттуда | в  местах, недалеко от того места | там | быть там | быть на месте",61.0,Хорошее совпадение,"там | я буду ждать вас там | вы слушаете (по телефону | туда | туда и обратно | здесь, тут, на этом месте",71.0,Хорошее совпадение,"ам | до стичьсвоеи | цели | убираться, уходить | спред - лог | инареч",6.0,Низкое совпадение,"там | туда | здесь, тут | есть, имеется, имеются | у  тем самым | поэтому",71.0,Хорошее совпадение,"там | туда | здесь, тут | есть, име ется, име ются | тем са мым",71.0,Хорошее совпадение
23,profound,"adjective, noun","глубокий, серьезный | полный, абсолютный | проникновенный | основательныи","глубокий, основательный; мудрый | полный, абсолютный | проникновенный | глу-бокий, низкий (поклон и т. п. ) | глубина , бездна",100.0,Идеальное совпадение,"глубокий, серьезный | глубокий, прочувствованный | серьезный, основательный",71.0,Хорошее совпадение,глубокии | основательныи | серье | зныи | глубокое знание | проникновенныи,81.0,Высокое совпадение,глубокии | основательныи | мудрыи | полныи | абсолютныи | полное не вежество,81.0,Высокое совпадение,глубо - кии | полныи,16.0,Низкое совпадение,глубо кии | программа,61.0,Хорошее совпадение,глубо кии | програ мма,61.0,Хорошее совпадение
24,flee,verb,"спасаться бегством | из-бегать | (тк. past и p. p.) исчезнуть, пролететь","бежать, спасаться бегством (from; out of; away) | из-бегать | (тк. past и p. p.) исчезнуть, пролететь",100.0,Идеальное совпадение,спасаться бегством,64.3,Хорошее совпадение,,0.0,Отсутствует в словаре,"бежать, спасаться бегством | из бегать | тк | исчезнуть, пролететь | ветер рассеял облака",96.0,Идеальное совпадение,"бежать, спасать сябег - ством | избе - гать | исчезать | жизньпролетела",6.0,Низкое совпадение,"бежать, спасаться бегством",64.3,Хорошее совпадение,"бежа ть, спаса ться бе гством",6.0,Низкое совпадение
25,remove,"noun, verb","извлекать, удалять | снимать | смещать (с должности) | ступень, шаг, стадия","удаление, рас-стояние, степень отдаления | ступень, шаг, стадия | продвижение, пере-вод (на работе, в школе и т. п.) | класс (в некоторых английских школах ) | поколение, колено; сте-пень родства | передвигать; перемещать; уби-рать, уносить",16.0,Низкое совпадение,"извлекать, удалять | снимать | смещать (с должности)",81.0,Высокое совпадение,"ступень, шаг | удаление, расстояние | продвижение, перевод (на работе и т п | убирать | уносить | снимать",51.0,Частичное совпадение,"удаление, рас стояние, степень отдаления | на дале | ком расстоянии | ступень, шаг, стадия | всего один шаг до | продвижение, пере вод (на работе, в школе и т",16.0,Низкое совпадение,"пере двигать, убирать, уносить | удалиться | отвес - тиглаза | снимать",16.0,Низкое совпадение,удалять | устранять | снимать | пере езжать,71.0,Хорошее совпадение,удаля ть | устраня ть | снима ть | переезжа ть,71.0,Хорошее совпадение
26,wednesday,noun,среда,среда (день недели ),100.0,Идеальное совпадение,среда,100.0,Идеальное совпадение,среда | в среду,100.0,Идеальное совпадение,среда (день недели,100.0,Идеальное совпадение,среда (деньнедели,100.0,Идеальное совпадение,среда,100.0,Идеальное совпадение,среда,100.0,Идеальное совпадение
27,indulge,verb,"позволять себе, предаваться удовольствиям | потворствовать, баловать | позволять себеудовольствие; давать себеволю ( в чём-л.) | обыкн","доставлять удо-вольствие | позволять себеудовольствие; давать себеволю ( в чём-л.) | быть снис-ходительным; потворствовать, бало-вать, потакать | сильно пить | дать отсроч-ку платежапо векселю",26.0,Низкое совпадение,"позволять себе, предаваться удовольствиям | потворствовать, баловать",71.0,Хорошее совпадение,обыкн | доставить себе удовольствие | он себе во все | м отказывал | быть снисходительным | потворствовать,51.0,Частичное совпадение,доставлять удо вольствие | он доставил всем удовольствие своим пением | позволять себе удовольствие | давать себе волю (в че | мл | увлекаться ездои,41.0,Частичное совпадение,"потворствовать, потакать | баловать",41.0,Частичное совпадение,"потворство вать, баловать | преда ваться (удовольствиям",66.0,Хорошее совпадение,"потво рствовать, балова ть | предава ться (удово льствиям",66.0,Хорошее совпадение
28,acquire,verb,приобретать | усваивать | достигать; овладевать (каким-л. навыком и т. п. ) | получать,приобретать | достигать; овладевать (каким-л. навыком и т. п. ),71.0,Хорошее совпадение,приобретать | усваивать,71.0,Хорошее совпадение,получать | овладевать | приобрести знания | овладеть языком | приобрести,51.0,Частичное совпадение,приобретать | достигать | овладевать (какимл | навыком и т | приобрести знания,71.0,Хорошее совпадение,приобре - тать | достигать | овла девать (ка кимлибонавы комит,16.0,Низкое совпадение,приобретать,61.0,Хорошее совпадение,приобрета ть,61.0,Хорошее совпадение
29,discourse,noun,беседа | дискуссия,беседа,71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,"разговор, беседа | дискуссия | бесконечныи | разговор | лекция, проповедь | прямая речь",92.0,Идеальное совпадение,книжн | рассу ждение | лекция | речь | трактат | про поведь,2.0,Низкое совпадение,беседа,71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
30,prosecute,verb,"возбуждать уголовное дело | вести , проводить; выпол-нять; продолжать (занятие и т. п. ) | выступаТaccentть в каТaccentчестве обви-ниТaccentтеля | преследовать в судебном порядке","преслец довать в судебном порядке | вести , проводить; выпол-нять; продолжать (занятие и т. п. ) | выступаТaccentть в каТaccentчестве обви-ниТaccentтеля",61.0,Хорошее совпадение,возбуждать уголовное дело,61.0,Хорошее совпадение,преследовать в судебном порядке | продолжать вести | проводить | выступать в качестве обвинителя,51.0,Частичное совпадение,"пресле довать в судебном порядке | возбудить иск об убытках | вести, проводить | выпол нять | продолжать (занятие и т | проводить расследо вание",51.0,Частичное совпадение,"вести, выполнять | продолжать (занятиеит | прово дитьрас следо вание | пресле доватьсу - дебным порядком",51.0,Частичное совпадение,пресле довать по суду,6.0,Низкое совпадение,пресле довать по суду,6.0,Низкое совпадение
31,million,"noun, numeral",миллион | числомиллион | б) основная масса населения | обыкн,милли-он | числомиллион | б) основная масса населения,26.0,Низкое совпадение,миллион,61.0,Хорошее совпадение,"миллион (количество | обыкн | миллионы, огромное количество | число) миллион",71.0,Хорошее совпадение,"милли он | десять миллионов книг | итого четыре миллиона | число миллион | а) множество, масса | б) основная масса населения",71.0,Хорошее совпадение,миллион,61.0,Хорошее совпадение,миллион,61.0,Хорошее совпадение,миллио н,61.0,Хорошее совпадение
32,indoors,adverb,"в помещение, в помещении | в доме, в комнате",внутридома; в помещении,71.0,Хорошее совпадение,"в помещение, в помещении",71.0,Хорошее совпадение,"в помещении | в доме, в комнате | сидеть дома",100.0,Идеальное совпадение,"внутри дома | в помещении | или | оставаться дома, не выходить",48.0,Частичное совпадение,"внутридома | впомещении | оста ватьсядома, невы ходить",6.0,Низкое совпадение,"дома, в по мещении",6.0,Низкое совпадение,"до ма, в помеще нии",71.0,Хорошее совпадение
33,dilemma,noun,дилемма | выбирать из двух зол,дилемма; затруд-нительное положение,71.0,Хорошее совпадение,дилемма,71.0,Хорошее совпадение,дилемма | выбирать из двух зол | затруднительное положение,100.0,Идеальное совпадение,дилемма | затруд нительное положение | стоять перед ди леммои | быть вынужденным выбирать из двух зол,96.0,Идеальное совпадение,дилемма | за - трудни тельноеполо жение,71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,"диле мма, необходи мость вы бора | затрудни тельное положе ние",71.0,Хорошее совпадение
34,fifth,"noun, numeral",пятый | одна пятая | пя-тое число,пятый | пятая часть | пя-тое число | 1/5 галлона (единиЗ ца измерения спиртных напитков ) | квинта,96.0,Идеальное совпадение,пятый | одна пятая,77.7,Высокое совпадение,,0.0,Отсутствует в словаре,"пятыи | пятая часть | пятая ко лонна, предатели внутри страны или организации | пятая спица в колеснице | пя тое число | галлона (едини ца измерения спиртных напитков",96.0,Идеальное совпадение,пит) пятыи | пятая часть | муз | квинта,77.7,Высокое совпадение,пятыи,64.3,Хорошее совпадение,пя тыи,64.3,Хорошее совпадение
35,mental,"adjective, noun","умственный, психический | производимый в уме , мыслен-ный | умственные способности","умственный | психический | производимый в уме , мыслен-ный | ненормальный, чокнутый; помешанный | ненормальный, псих | подбородочный",77.7,Высокое совпадение,"умственный, психический",64.3,Хорошее совпадение,умственныи | умственные способности | производимыи | в уме | устныи | сче,96.0,Идеальное совпадение,умственныи | умственно отсталыи | ре бе | нок | умственное напря жение | ваши несчастья,77.7,Высокое совпадение,умствен - ныи | пси - хическии | душев наябо лезнь | душев ноболь - нои | психиатр | производимыи,44.3,Частичное совпадение,умственныи | мысленныи,64.3,Хорошее совпадение,у мственныи | мы сленныи,6.0,Низкое совпадение
36,compete,verb,"состязаться, соревноваться | конкурировать | принимать участие в спортивном соревновании | участвовать в соревнованиях по ле","состязаться, соревноваться | конкурировать (with — с кем-л.; for — из-за чего-л., ради чегоЗл.) | принимать участие в спортивном соревновании",81.0,Высокое совпадение,"состязаться, соревноваться | конкурировать",71.0,Хорошее совпадение,"состязаться, соревноваться, участвовать в соревновании | участвовать в соревнованиях по ле | гкои | атлетике | конкурировать",100.0,Идеальное совпадение,"состязаться, соревноваться | конкурировать | с кемл | изза чегол | ради чегол | принимать участие в спортивном соревновании",81.0,Высокое совпадение,"состя заться, сорев новаться | конкурировать (с кемлибо | ради чеголибо | способ ность, даро - вание, доста точные длякакои | либоцели | достаток, хоро шеематери альноеполо жение",16.0,Низкое совпадение,состязать ся | конкурировать,71.0,Хорошее совпадение,состяза ться | конкури ровать,61.0,Хорошее совпадение
37,closure,"noun, verb",закрытие | прекра-щение прений | закрывать прения | завершение,закрытие; фон. смыкание | прекра-щение прений | закрывать прения,81.0,Высокое совпадение,"закрытие | чувство, что грустный или неприятный эпизод в жизни завершился, и появилась способность думать о чем-то другом",61.0,Хорошее совпадение,завершение | прекращение прении | засте | жка | молния | крышка на бутылку,51.0,Частичное совпадение,закрытие | фон | смыкание | парл | прекра щение прении | закрывать прения,81.0,Высокое совпадение,закрытие | смыкание | парл | прекра щение прении | за крытьпрения,71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
38,owner,noun,владелец | капита /G01/G12 корабля | собственник,"владелец; собст-венник, хозяин | капита /G01/G12 корабля",77.7,Высокое совпадение,владелец,64.3,Хорошее совпадение,собственник | владелец недвижимости | владелец авторского права,72.7,Хорошее совпадение,"владелец | собст венник, хозяин | жарг | капита корабля",77.7,Высокое совпадение,владелец | собст - венник | хозяин | капитан,64.3,Хорошее совпадение,"обладатель | вла делец, собственник | владение | право соб ственности",19.3,Низкое совпадение,"облада тель | владе лец, со бственник",41.3,Частичное совпадение
39,colony,noun,"колония | посе-ление | биол. семья (пчёл, муравьёв и т. п.) | поселение","колония | посе-ление | биол. семья (пчёл, муравьёв и т. п.)",81.0,Высокое совпадение,колония,61.0,Хорошее совпадение,"колония | поселение | учреждение специального назначения | исправительная колония | семья (пчелиная, муравьиная и т п",81.0,Высокое совпадение,колония | посе ление | дачныи | посе | лок | семья (пче,81.0,Высокое совпадение,колония,61.0,Хорошее совпадение,колония,61.0,Хорошее совпадение,коло ния,61.0,Хорошее совпадение
40,no one,pronoun,никто,никто,100.0,Идеальное совпадение,никто,100.0,Идеальное совпадение,"никто | почти никто, едва ли кто-нибудь",100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,никто,100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
41,mobilize,verb,"мобилизовать, заручиться поддержкой | мобилизоваться | (с)делать подвижным | пускать (деньги) в обращение mob law, mob rule [ /G03m/G07bl/G08:, /G03m/G07bru:l] n самосуд","мобилизо-вать(ся) | (с)делать подвижным | пускать (деньги) в обращение mob law, mob rule [ /G03m/G07bl/G08:, /G03m/G07bru:l] n самосуд",26.0,Низкое совпадение,"мобилизовать, заручиться поддержкой | мобилизоваться",71.0,Хорошее совпадение,"мобилизовать(ся | делать подвижным, придать подвижность",71.0,Хорошее совпадение,мобилизо вать(ся | с)делать подвижным | пускать (деньги) в обращение | самосуд,81.0,Высокое совпадение,мобилизо - вать(ся | сделать подвижным | пус - кать (деньги) вобращение,26.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
42,yourself,pronoun,"себя, себе, собой | сам, сама, сами | сь, -ся","refl. себя , Чся, Чсь; себе | сам, сами",77.7,Высокое совпадение,"себя, себе, собой | сам, сама, сами",77.7,Высокое совпадение,"себя, себе, собои | сь, -ся | вы можете пораниться | сам, один | как ты поживаешь, а сам-то ты как | вы это сделали сами/без постороннеи",77.7,Высокое совпадение,"себя, ся, сь | себе | вы ушиблись | как вы поживаете | сам, сами | вы сами мне это сказали",77.7,Высокое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
